Highest Layer,Transport Layer,Source IP,Dest IP,Source Port,Dest Port,Packet Length,Packets/Time,target
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,88.80686858848813,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,89.48241368524653,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,90.15714496638478,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,90.82962848719106,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,91.43728031535959,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,92.10841389124353,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,92.77855063640142,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,93.44774117400218,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,94.11516295129167,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,94.783293173535,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,95.38111897898067,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,96.04591852698802,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,96.71008658258954,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,97.37308720425044,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,98.03512358420893,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,98.62574938484211,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,104,99.28566649504795,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,99.94765329334173,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,100.60228727378718,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,101.25935958443608,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,101.91855992757426,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,102.57362723359854,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,103.22787180003584,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,103.80747487306728,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,104.45947519808618,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,105.11046315385963,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,105.75738893562404,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,106.40652063274119,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,106.97889019634606,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,107.62537800978451,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,108.27190023805701,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,108.91693788135939,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,109.56140634583423,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,110.20438544851552,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,110.84685723621301,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,111.48680311221938,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,112.05031438786199,1
